epoch,mAP@50,mAP
460,0.442,0.266
461,0.442,0.266
462,0.443,0.266
463,0.443,0.266
464,0.443,0.266
465,0.443,0.267
466,0.443,0.266
467,0.444,0.267
468,0.444,0.267
469,0.444,0.267
470,0.444,0.267
471,0.444,0.267
472,0.444,0.267
473,0.444,0.267
474,0.444,0.267
475,0.445,0.267
476,0.445,0.267
477,0.445,0.267
478,0.445,0.267
479,0.445,0.268
480,0.445,0.268
481,0.445,0.268
482,0.445,0.268
483,0.446,0.268
484,0.446,0.268
485,0.445,0.268
486,0.445,0.268
487,0.445,0.268
488,0.445,0.268
489,0.445,0.268
490,0.446,0.268
491,0.445,0.268
492,0.445,0.268
493,0.446,0.268
494,0.446,0.268
495,0.446,0.268
496,0.446,0.268
497,0.446,0.269
498,0.446,0.268
499,0.446,0.269
500,0.447,0.269
501,0.447,0.269
502,0.447,0.269
503,0.447,0.269
504,0.448,0.269
505,0.448,0.269
506,0.448,0.269
507,0.449,0.269
508,0.449,0.270
509,0.449,0.270
510,0.449,0.270
511,0.449,0.271
512,0.450,0.271
513,0.450,0.271
514,0.450,0.271
515,0.450,0.271
516,0.450,0.272
517,0.450,0.271
518,0.450,0.271
519,0.450,0.272
520,0.450,0.272
521,0.450,0.272
522,0.450,0.271
523,0.451,0.272
524,0.450,0.272
525,0.451,0.272
526,0.451,0.272
527,0.451,0.272
528,0.451,0.272
529,0.451,0.272
530,0.451,0.272
531,0.452,0.273
532,0.451,0.273
533,0.451,0.273
534,0.451,0.273
535,0.451,0.273
536,0.451,0.273
537,0.452,0.273
538,0.452,0.274
539,0.452,0.274
540,0.453,0.274
541,0.454,0.274
542,0.453,0.275
543,0.454,0.275
544,0.454,0.275
545,0.454,0.274
546,0.454,0.274
547,0.454,0.274
548,0.454,0.275
549,0.454,0.274
550,0.453,0.274
551,0.453,0.274
552,0.453,0.275
553,0.454,0.275
554,0.454,0.275
555,0.455,0.275
556,0.455,0.275
557,0.455,0.275
558,0.455,0.275
559,0.455,0.276
560,0.456,0.276
561,0.456,0.276
562,0.456,0.276
563,0.457,0.276
564,0.457,0.276
565,0.456,0.277
566,0.456,0.277
567,0.456,0.277
568,0.457,0.277
569,0.457,0.277
570,0.457,0.277
571,0.457,0.277
572,0.457,0.277
573,0.457,0.277
574,0.457,0.277
575,0.457,0.278
576,0.458,0.278
577,0.458,0.278
578,0.458,0.278
579,0.458,0.278
580,0.458,0.278
581,0.458,0.278
582,0.458,0.278
583,0.458,0.279
584,0.458,0.279
585,0.458,0.279
586,0.458,0.279
587,0.458,0.279
588,0.458,0.279
589,0.458,0.279
590,0.458,0.279
591,0.458,0.279
592,0.459,0.279
593,0.459,0.279
594,0.459,0.279
595,0.459,0.280
596,0.459,0.279
597,0.459,0.279
598,0.459,0.280
599,0.460,0.280
600,0.459,0.279
